Tweet	lang
ye raja yasir bhai tou shakal se rj type lagte hn	Mixed
ho he nain sakta pti our tameez	Roman Urdu
election ke bad kpk ke bijli ko kya hua hai 12hours nahi hoti imrankhanpti pti alizai kohat kpk	Roman Urdu
banu pti k mpa pakhtoonyar ki qayadat me intekhabi nataij me rad o badal k khilaf ehtijaji muzahira cm nataij pr asar andaz hoye mehbob	Roman Urdu
mubasherlucman pti ko double shah say hoshyar rehna chahye	Mixed
dhongi sad sad ke na mara ik din to dekhna	Mixed
naya pakistan ban chuka hai ik wazeer e azam na ban saka tou yeh mat kehna ab pakistan phir say purana ho gaya hai	Roman Urdu
islamabad sadgi apnain gay governor houses awam k istemal me lain gay bharat se talluqat theek karnay k liye tayyar hain imrankhan pti	Mixed
naya pakistan uploading complete congratulations pti	Mixed
aur dil bhi nhi kr rha utarny ko pti ka vot hy na	Roman Urdu
dhaandlee karna hmesha say pmln ka he kaam hai pehly bhi karti thi ab bhi ki hai	Roman Urdu
jahanzaibashr17 m suru m kya kha tha yd h is wqt pti pmln ka nhi bl k mulk ka msla h mulk ko shi krna h mulk ka sochen	Roman Urdu
lemme churail q yaar pmln ko vote dia tha kia	Roman Urdu
india ko nachnay gaanay k ilawa aur kia ata hai apni aurton ko pesh kar k wo dunya mai move kar rahy hain un se	Mixed
imran khan sahib aap ko election jeetne aur prime minister banne per mubarik ho	Mixed
apas ki baat hai kasi b country ke prime minster ne ik ko mubrakbad di	Mixed
ye to ronay wali baat hui	Roman Urdu
mazeed panch sal karachi kay seenay pur mong dalnay ki tayyari	Roman Urdu
malik karamat khokhar of na135 doing firing on his dera pti	Mixed
sufaid kurta hath main tasbeeh aur yeh saadgi welcomekingkhan primeministerimrankhan nayapakistan	Mixed
pmln aur ppp ab kabhi khaalai makhlooq ka ziker nahi karengay	Roman Urdu
hum ik kay sipahi hain says pervaizkhattak we ll obey imran khan	Mixed
wo toh sukar h ki pti jeet gyi haar jati toh sara gussa hi in celebs pe nikalte	Mixed
imrankhanpti lannat pmln pr jhoot bolna me number one	Mixed
imrankhan ki speech to bahut positive thi ab dekhna hoga ki act kysa hota hai	Mixed
pti zinda bad allah salamat rakhay pti or en k worker ko	Mixed
ik nay alaan kar diya hai panjab samath 3 subo mei huqumat banaeinge	Roman Urdu
khsaad rafique shekhupora ma police k samnay javed latif k deray par saray amm firing qanoon mou deakhta rah gaya	Roman Urdu
abidifactor go ahead with pti sir waqt ka taqaza hai karachi ko bachana hai	Mixed
ab dekhna ye hoga k new prime minster apni ki howi baaton pe kitne utrte hain kya imrankhan pakstan k pm bante hain ya sirf punjab ky	Roman Urdu
congratulations arslan bhai humary district sujawal pti ne koi candidate khara nhi kya yahan bhi supporters hain bhai	Mixed
massymasih faiza amin1990 jawaadnazeer anummohsinnn iamalishy phr to der ni krni chahye pti walon ko	Roman Urdu
aamir khan bhai celebrate krny kb arahy hain pti imrankhanpti ki victory	Mixed
boori bund lashon walay k supporters pl come out aj tau koi ik bhi nhi dikha suicide tu tum log karogay nhi	Mixed
awam nai hug diya tairai muh mai stop barking	Mixed
jo kia h woi bhugto ab khd pury 5 saal dimagh khaya h ab ik din b bardasht ni ho raha	Roman Urdu
hukomat sazi k liye pti ka mqm se rabta pti ka punjab kpk sindh k governor hatane ka fesla saad rafique ki vote dubara ginti ki darkhwast	Roman Urdu
usamaba87787450 nawaz sharif india se dosti kare tu wo gaddar ik india s hath mile tu wo muhib e wataan mustafa kamal altaf k bare ma	Roman Urdu
hahahahaha all over the pakistan ye jo hawa chali thi i i pti in sha allah punjab government b pti ki hogi	Mixed
maaf kar do bhai mat do imran khan ki vote ja kay ppp mqm ki pooj lo	Roman Urdu
lak d lanat tum sb anchors pa mil k be pti ko nahi haara saky haaram kar dia sara pmln k pasa	Roman Urdu
pti k shakoor shad 52750 vote lekr qamiyab bilawal zardari haar gaya	Mixed
aamirliaquat imrankhanpti mnajeebharoon hamari nak khoyeshad pti aor ap ka sat ha	Roman Urdu
iqrarulhassan hum tayar hain aj se waqai naya josh naya walwala ha nayapakistan inshallah	Roman Urdu
pat walon ko officially bola gya tha pti ko vote denay ko koi na man na chahay to na manay kya farq parta hai	Mixed
doob k mar ja khwajey	Roman Urdu
na karo yaqeen sach yahi hai primeministerimrankhan alhamdulillah	Mixed
pti 120 seats 4 minority seats 25 makhsoos seats total 149	Mixed
loo jee nayapakistan ka nayamistri	Roman Urdu
pakistan ko khud ka personal kejriwal mil gya ab to hamare wale ko chhod dena	Roman Urdu
shahbazsharif na248 sohailmansoor na239 or ashrafjabbar na255 ki recounting ki darkhast qadirpatel na248 ki jeet k khilaf pti ka ehtjaj	Mixed
jazeera007 saimkhan1pti acha bhala pti ka matwala tha yeh smq nay dhataye dikhaye	Roman Urdu
duckybhai imrankhanpti banda kbhi tu jaldi video bana dyta hai saal baad teri ik video aati hai ziyada videos	Roman Urdu
khush toh bohat honge aap aaj nayapakistan	Roman Urdu
nksudhuzai pmln kuch b ho jay pti win ha	Mixed
nayapakistan congrutulation 2 all nation ab hoga insaaf	Mixed
anum asif26 zshancheema aap kis kis kee zubaan pukray gay ub yay dhaykay australian newspaper nay tho ik ko army	Mixed
krwa lo re election apny peson ka is mulk k pesay isi kaam k liye nhi reh gya	Mixed
indian politician said use ballot paper likewise pakistan and save electricity hahahaha baaap baap hota hai nayapakistan	Mixed
iamteamik in sha allah pti win kry gi	Mixed
lahoreqalandar ko psl mai second last position pe laen ge nayapakistan	Mixed
reham khan or ayesha gulla lai ki bhi koi khabar ani chahiya un k bhi halat batanay chahiyan media ko electionpakistan	Mixed
achi khushfehmi hai jhooti tasali maat dou khud ko	Roman Urdu
pakistan ko kejriwal mubaarak ho	Roman Urdu
shahidmasooddr sir ye geo ko kya hoa ham ny sub pahly news di ik pm of pakistan itni publicity	Mixed
jemima khan imrankhanpti congratulations to you also it s big day for you and pakistani people aab sirf imran khan	Mixed
ab pti ki govt mai bhala mulk ki falah k liy kia baat hosakay gi yahan abb sirf hawayi qilay taamer hongay	Roman Urdu
agreed yahi rakni chaya bcz dosry jaga sy koi b pti ka candidate jeet jy ga but yahan sy muskil hy	Mixed
pti ke sab frnds ko meri trf se bht sari mubarak bad	Roman Urdu
marriyumteam inshaallah pmln jeety gi	Roman Urdu
ary yr in pmln k bachon ko feeder do chup hi nai kr rahy 2013 ko pti ko to bohot kehty thy k dhandli nai hoi ab khud ro rahe	Mixed
where r u madam hahahahahahahahahahahaha u deserved this horrible defeat ik zindabad	English
pti 115 pml n 63 kuch notification ani hai pti 110 aur pmln 67	Roman Urdu
alrt bilawal zardari ppp k garh lyari sy har gae pti ny maidan mar lia bilawal 3rd number py aaya rana sanaullah aakhir kar jeet gae	Mixed
rehamkhan1 wese madam itna kuch rubbish bolne ke bawajood ik ne apko aik lafz ke qabil bhi nahi samjha	Mixed
imrankhanpti ne kal ke speech me sab ka dil jeet liya yaha tak ke india walo ka bhi primeministerimrankhan	Mixed
chloo is naye pakistan sa ik faida hwa purny rishtay dil sa utar gye	Roman Urdu
hum pmln k sath hain is dafa pti walon ko maqa diya hai agar pti waley kaam krey to sub pakistsni awam dobra intkhabat main inko jitwayegi	Roman Urdu
geonews urdu kkabbasi tu bula le ga qamarbajwa uss se khud hand shake kre ga innko nafrat india se nhi nawazsharif se kuonk wo quaideazam ka pakistan bna raha tha struggling for civilsupremacy	Mixed
electionpakistan2018 k kuch yadgar lamhat pakarmy pai jaan qurban	Roman Urdu
irshadbhatti336 sir pmlq ab dhoka na de dy hum punjab mai pti ki govt chahty hain	Roman Urdu
tumhy kya lgta hai ghalib mujhy to is tasbeeh ka kamal lgta hai electionpakistan2018 primeministerimrankhan	Mixed
agar pti ka na hoto phir sirf mamnoon hussain he ho khamoshi aur sukoon se waqt guzar jayega ksi mamle me tang nahi karega	Roman Urdu
18 rehnumao ne punjab se pti ki himayat kardi pmln nayapakistan	Roman Urdu
puri qoum ko naya pakistan mubarik ho imrankhanpti wazer e azam rok sako to rok lo tabdeeli ani hai ab sirf kaptan	Mixed
3 talwar par pti k dharnay main kharay ho kar speech tou mainy ki thi na	Mixed
nahe bhaiyyon abhi sirf mqm aur apko aukat dikhai hai apki khan ny khi k hathon zaleel krwa k	Roman Urdu
aurangzaibna48 mera cousin jo pti ka hain our pore family samet miran shah pti ko vote dalny aya to weha per suna	Mixed
hm afrsda b h likn khan ki jeet ki khoshii b plz ap abi b pti ko join kr ly plz khan sab mkhsos seet k liye drkhwas	Mixed
pmln waly sb daramy hain ghot bolna in ka watera hamesha raha ha	Roman Urdu
gilani molana sahab aap chahey tu kuch din mere haa aaker ruk saktey ha pakistanelection2018 pakistanfirst	Roman Urdu
amanullahkarim2 electionresults2018 gund start krdi pervaiz elahi ny ye hai h kuttay ki nasal had hogai yar itna ro rhaa hai ja mil ja shahbaz sy phr bh hm hukumat banain gye ia	Roman Urdu
karachi aam intekhabat main pti ki jeet kay baad inter market main dollar ki qadar main 7 rupay ki kami dollar 124 rupay tak aa gaya	Mixed
abidifactor bahi mohajiron nai pathan sindhi punjabi kashmiri sairiki aur sub zaban bolnay walon kai saath mil kar imran khan pti ko jeetwa dia hai aap nai to kaha tha kai mqm poray karachi sai seat jeetay gi	Roman Urdu
shabeer64200838 achi baat ha hun chamchi pti ki	Roman Urdu
noon league walon ne jab vote ki izat dekhi tau chekhen nikal gaen unki nayapakistan	Roman Urdu
felling so hurt allah hmary bhai ko janat main jaga dn ap so rhy ho cmshehbaz khsaad rafique khawajamasif	Mixed
india aa jana bhag ke wait karunga simran aa jayo	Mixed
pti wins na252 karachi karachi toh hai e best	Mixed
usnay yeah b kaha tha jiss jamat ne mqm ki jaga li woh establishment ki stooge hogi	Mixed
drarbeelakhan g ha pti ka pala bhri ha	Roman Urdu
allah ne ye din bhi dikhana tha alhamdulillah	Roman Urdu
cmshehbaz sab pmln supporters chutiye hn bhikari	Mixed
planet wala ye hai wo pmln ka poling agent jo khan pr dhandli ky ilzaam laga raha hai is pr lanat baij kr rt krain	Roman Urdu
ye log hain jinhon nay pmln ko 62 seats dilwai	Mixed
cmshehbaz koi khyal karain cmshehbaz sahib gujranwala ne ap ka bharam rakha or koi seet b pti ko nai jeetne di o	Mixed
ge 2018 qaumi assembly pti 115 pml n 62 pppp 43 ind 12 mmap 12 mqmp 6 pml q 5 tlp ka nam nahi aya gda 2 amlp 1 anp 1 bap 1 bnp 1 e c	Roman Urdu
alirazatweets woe keh raha pti to nae join ki na	Mixed
ptiofficial k liay abh intehai mushkil waqt hei pehli nakaam hukamtein jo kuch na kar saki abh ik ik kaam k liay	Roman Urdu
engineer huma avi tum na ik ki lagai	Roman Urdu
life mein aesa nasha krna hay ek bar	Mixed
khsaad rafique isi my uljhy raho or ik ny punjab my bna lyni hakumat	Roman Urdu
sasti shohrat k lye statutes deny wali pmln k sath ab dhandli na kr kal wala status yaad rkh	Mixed
khsaad rafique bss tumhari izzat ka khayal hey ik ko wrna phr tumko mayyosi or ruswaayi hogi	Roman Urdu
sabeelmughal hussain nsharif sabeel sb ye kanjar andar say ek hein ppp noon aur mqm in teeno kagath jod hay pa	Roman Urdu
talathussain12 elections khatum ab yeh army wapis kun nahi ja rahi ab sarhado n per dushman nahi ya ink sarey du	Roman Urdu
aakbar84 tabrezalam009 ye patwario k vote ko mandate kehte hai aur us ki izzat ki bat karte hai pti ko milne wale vote ki izzat nahi hoti	Mixed
greatkingmisbah bilkul ik jesi batain krtey	Roman Urdu
farrukh rai hafsakazi91 matlb is br pti k sath khari hai	Roman Urdu
dr yasmeen rashid ko wazeer e alla bnana khush aiyaan hai is k sath sath waleed iqbal ko b lazmi koi wazarat den	Roman Urdu
nawaz and shahbaz talk in adiala jail shahbaz aap ko mazeed waqt jail mein rehna hoga nawaz aisa na bol	Mixed
abidsherali kaunsa result shurli pti toh jeet gayi	Roman Urdu
mubashirzaidi afiwadho mubashir sahb ko ab bhey mqm say hamdardi hay karachi aur karachi kay logon say nahi	Roman Urdu
welcomekingkhan aday sy ziyada ka kaam to abhe say kr lea ha ik nay	Mixed
waseembadami saad rafiq ko pta chal gya hoga ik k sayh allah ki madad hai us nae lohay k channay bhi chaba liye	Roman Urdu
imrankhanpti aoa imran bhai ap ghabrain nhi insha allah govermint hmari hi bany ge pti ki	Mixed
sare kanjar ik h jagha jama	Roman Urdu
agar ab bhe bbhuttozardari nay stand na leya tu phir ppp org kay din tamam stand up bilawal speak	Mixed
fatima4057 pti walo tum logo ne kangar khana shoro kar bhi diya hai	Roman Urdu
primeministerimrankhan allhhamdulilah bohat jald imran khan iqtadar sambhaly gy aj jo b imran khan ny speech ma kaha bohat khushi hue sun kar	Mixed
arifalvi aap se aik iltaja hai inn qatli mqm ko apne sath na milaen jo log apnei parti mein wafa na ker sake wo kia krain ge	Mixed
bbhuttozardari o bhae chup raho jo ppp ne rat gye dhandli ki hai apni ankhon se dekhi maine ab bhi ro rahy ho khuda ka khof karo	Roman Urdu
in sha allah usman dar jeetega aur rana sanaullah wale men bhi yehi hua doosra jeet raha tha aur aik dam se wo jeet gaya	Roman Urdu
iamhamzaabbasi hamza aaj to ik nee khoob party kee hogi teray sath	Mixed
kia hum naye pakistan mai bhi single hi rahein gay nayapakistan tabdeeli	Mixed
zardari ne zaka ashraf ko chairman banaya nawaz ne najam ko banaya imran kis ko bnaye ga chairmanpcb nayapakistan	Mixed
2013 mai pmln punjab se wo seats jeet gai jo 2008 mai ppp jeeti thi cause log samajh gye 2018 mai pti wo seats jeetegi jo 2013 main pmln ne jeeti thi	Mixed
nailaidrees94 pti penal na 119 rahat amanullah pp135 umer aftab pp136 khuram ijaz	Mixed
jigers2 azeemwk farhankvirk bhai sahib yeh seats recounting k bad pti say jeeti gyi hain	Mixed
amircheemapti insha allah pti jeety gi	Roman Urdu
mehrinsanam sis jitna ppp pmln mkmap juif ny pakistan ko lota kisi ny itna nahi lota in ko tu china may election lrwana chyia tha	Roman Urdu
taymur rana wasy lahore nai ksy pti ko vote deya	Roman Urdu
kya kya ch tia hai is qom ma or is ka manjan bikta b hai	Roman Urdu
breaking bharat me pti ki jeet par narazgi or media houses me wawela kiya jaraha he n n r g g	Mixed
pm jo bhi banta mqm ki support k beghair nahi banta mqm is reality nadia a mirza jasmeenmanzoor kashifabbasiary	Mixed
imrankhanpti teray jan nisar be shumaar be shumaar electionresults2018 nayapakistan	Mixed
aftab jahangir win from na 252 karachi absirfimrankhan	Mixed
wo tamam hazrat jo diya jalae huwe the unse guzarish he jahan diya jalaya tha wahan burnol laga len burnollagaerakh	Roman Urdu
waqasahmad pak sheenaabidashah yeh jo election mein maar parr rahi hai iss ke peechay pmln ki karkardagi hai st	Roman Urdu
true leader of pakistan pmik18 nayapakistan absirfimrankhan imrankhan	Mixed
aur sajid naqvi teri behn ko choday ga	Roman Urdu
gulbukhari gul bukhari ko bukhar hogya ha imran imrankhanpti ki jeet pay she won t be getting that paycheck from pmln anymore maybe	Mixed
pti k songs suuuun k aesy jazba aa jata jesay wahga border py ja k jazba ata ik	Mixed
afaq ahmad sharam tu magar tum ko aati nahi ik	Roman Urdu
nayapakistan may kia 000 tak hojayn gay	Roman Urdu
rehamkhan1 bbcnewsnight tum mery sath halala kr lo phir ik sy nikkah kr lena	Roman Urdu
sarri ki sarri seats khi wali pti ko day do bus is ko nikalo	Mixed
imran khan ki baaton ne dill jeet liye allah un sb baaton ko pura krny ki himmat dain ameen imrankhanpti primeministerimrankhan	Roman Urdu
pmln buray tareqay say phuns gai hakomat bnaian ya ehtajaj karain dunya kamran khan ke sath	Roman Urdu
allhamdullilah we have won na 123 seat shahdara kay logon ney aaj pti ki zamanat zabt ker dy hein	Mixed
meanwhile shahbaz yar mera saman bandh daina main chalta hon bhabhi bohut yaad a rahi hain	Mixed
battagram pk 29 me dhandli pakistan rah e haq party ka musalsal teesray roz dharna jari lahore apc ki tajawiz pr pmln ka ijlas kal talab	Roman Urdu
omar quraishi ansaraabbasi q k tere baap nawaz sharif k business hai wahan ik k koi mufad nhi hai	Mixed
wajih sani shame on mqm p	English
mashaallah dollar 126 50 ka ho gaya electionresults2018 dehko dehko kon aya imran khan aya	Mixed
piaray baytay hamza shahbaz ziada va vayla karnay ki zaroorat nahi hay bas thorray dinoon ki baat hay aap abhi	Roman Urdu
maira bhai mujhe keh raha tha chalo niklo dafa ho yahan sy i said yar tmhain kya ho gya hy tm tou pti supporter ho	Mixed
tabdeeli aagai khan shb apki jedojahad ko slam umeed hai ap sindh p khusoosi tawajju denge	Roman Urdu
khsaad rafique ik ghaleez admi hey usko sharam hiya say kia lyna	Roman Urdu
ali muhammadpti ali bhai apko aur tamam pti workrs ko buhut buhut mubarak ho	Mixed
izhaaremuzamat hazara pti 2 pmln 2	Roman Urdu
shehbaz ne potohar me 1 jalsa q ni kia nisar k halqe me q ni gaya pmln destroyed by shehbaz	Mixed
fiza gilani charas k paiso pe palne walo ik ki jutiii se b ni miltay tm loog	Roman Urdu
farhaad1 electionresults2018 fazlu ko achakzai k byanat pasand hayn woh sab halal hay p ese afghni ko paal k ghalti kee is ko bhejo	Roman Urdu
mqm ko b saath milanay lagay ho imrankhanpti traitor se patriotic ban gaye govt bnanay ky lyee nastypolitics	Mixed
ports n shipping kisi kanjar ne mqm ko di tou dekhna	Mixed
cutekoji afaqhus wuzgar sbko pta 131 bht tough hy us py aam admi ka jeetna taqreebn na mumkin hoga isiliye ik wo seat rakh rhy hyn	Mixed
app sahafi hy ya pti workers	Mixed
kainatfarooq hoga wahi pti se ilhaaq	Roman Urdu
raheel zahid94 sahi baat hai phir lahore q na pmln ko chunay unho nay maslay khatam kar diay thay	Roman Urdu
acha banda tha ik bar sureh fatiha or 3 bar surah ikhlas parh ke baakhsh dain	Roman Urdu
allah pak ka shuakr hai pehla vote pti ko diya jeet gai na 187 mubarak haji majeed khan niazi	Roman Urdu
alirazatweets tabrezalam009 i a punjab mh pti ke government hu gye ha and 5 years bd in ka vo hal hu ga jo mulana ka kpk mh hua ha	Mixed
kisne socha tha k 9 0 azizabad aur lyari se pti jeet jaegi karachi change ho chuka	Roman Urdu
hahahahaha jitna nawazsharif ny aik din urye dye etny pakistaniawam ki salana income b ni hoti	Mixed
pm to badal liya hm ny khud ko kab badly gy hm electionresults2018	Mixed
bara dil bara admi	Roman Urdu
imrankhanpti apne tweets like krne wala chawal insaan pti toh keh re hai k halqe khulwa lo	Roman Urdu
pti ka karachi main tsunami a gya hai bolochistan main be 7 seats pti ki province assembly ho gai hain har tarf pti hi pti hai	Mixed
log jahil nae us bandi k qismat mein hi shikast hai jo vote milein hain wo bhi usi halke sy mily hain yasminrashid ko	Mixed
pmlq ko pti me merge kar lien sab se best candidate punjab cm ka pervez ilahi hai	Mixed
shehbaz sharif ziada seats punjab assembly main pmln ki hyn	Roman Urdu
rabiaanumm shukar hai rabia ap ne kuch tou tasleem kia ap ne pti aur ik se nafrat ka izhar kaam kia	Roman Urdu
jis jis k halqe me pti jeeti wo nai dega paise	Roman Urdu
shukar ha koi to mila jo samaj dari ki baat karta ha thankyou for this	Mixed
asmi malik aj tu kasam sy pti waly rishtaydaro ny damgh ka dahi bana diya	Roman Urdu
faisalhnl bawaa g pti bs mein noon league k against kab ka ho gaya thaa bas show nhi kya	Mixed
sadafchudhary muhammadimren main b pmln ki ho or raho ge in sha allah	Roman Urdu
seema7766 huzaifabutt302 nomanzargar betterpakistan jahan ppp aur pmln jeetey wahan sab sahi election howa jahan haar gaye wahan dhandli	Roman Urdu
nayapakistan me bhi kabab ka masala sil pe peesna par raha hai imrankhan plz look into the matter	Mixed
islamabad balochistan ke logo ko dad dena chahta hu kamyab entikhabat ke eniqad per security forces dad ke mustahiq hay imrankhan	Roman Urdu
moodymaddy sab chor sarrak pay agaye shukriya imran khan	Roman Urdu
gullgee66 han bilkul 1lac 55 hazar vote lahore sy lena bahadri ha ho skta ek adha jaga pmln ny dhandli ke ho	Roman Urdu
innocen40350456 anjumkiani awaisreporter aesy to khan ka behnoi bhi pmln mn hy	Roman Urdu
nadia a mirza koi dhng ka banda nh hy kiya pti k pas	Roman Urdu
karachi se khebar tak sirf pti ki gov t agents ko ham sub ne mil kr shkast di insha allah ab pak ki tekdeer badle gi welcometonayapak	Mixed
kuch b ker lo london ki bajay usa say script banwao pm nai ban sakta tu pti imrankhan	Roman Urdu
mein apne bachon ko bataongi jab imrankhanpti pm of pakistan bane tabh mein 18 ki hone wali thi primeministerimrankhan	Mixed
azmabokhari 2013 mai pti nai yhi bola tah ab mun band kro	Roman Urdu
pti jeeti hy khusi me foog fairing kar rahi hy	Roman Urdu
insha allah ab pakistan ko koi taraqqi karny say nahi rok sakta naya pakistan poori quom ko mubarak ho wazir e azam	Roman Urdu
ayesha gulalai maryam nawaz reham khan nawaz shareef jo jo chaand pe thookta hai sab usi k mu pe girta hai imrankhan	Roman Urdu
matlab jahan sy pmln jeeti hia wahan bhi dhandli hoei hia	Roman Urdu
imaan afridi1 sardar yar mohammad rind ko ham governer balochistan bannay main mubarak bad ho pti pakistan zinda bad	Roman Urdu
i can imagine quaid back in 1947 alhamdulillah primeministerimrankhan nayapakistan	Mixed
awan rumi 2 57 106 pti	Roman Urdu
sakooon mila dil ko haram khoor salay	Roman Urdu
karachi walo yeh tumhara hua absirfimrankhan	Roman Urdu
or apko bhi nahi pta apkay sath kia hoa hai karma	Roman Urdu
modi ka jo yaar hai imran hai imran hai nayapakistan	Mixed
election 2018 karachi me qomi assembly total 21 seats me pti 14 mqm 4 ppp 3 par kamiyab gair hatmi gair sarkari nataij	Mixed
ik ka beeyan halal ka or tu haram ka	Roman Urdu
pti peshawar 5 5 islamabad 3 3 karachi 12 21 lahore 5 14 conclusion sb se ziada jahil lahore may he	Mixed
ammarashraf mujhe lagta hai inho nay lazmi attempt karni hai ke saray mil kar number game itni strong kar len	Mixed
ap na aj apni wife se khul kha leni ha pti ke cherr ky	Mixed
jahangeer tareen naahil banda ur pti usy leader qarar dy rahy hain sb munafqat chal rahi hai	Mixed
hawa nikal gayi hai sab ki after ik speech	Mixed
kashankhaan jandalhargan baji bht khush hun agar pti sindh ma govt banati to bht acha hojata	Mixed
raja medhi sir main b jhelum se pmln ka supporter ho sir g dobara counting hogi ya nhe	Mixed
mufti sb ek tau ye samaj nahi aati k hamari pmln hi itni khassi q hy kal khadim rizvi nay ecp ko dharnayki dhamki di tau aaj 2 seats un ki nikal aai karachi sy	Mixed
waseembadami waooo zabardast bhot accha hua ab sirf pti inshaallah	Mixed
thinkffb kese kisi ka zameer jage yhn jo army k bare mein khul k baat kr rha h us ka social boycott kr rhe hain log pti ki support mein	Mixed
imrankhanpti in sha allah ab pakistan me aik achi jamhuriyat or achi siyasat aik sath ho ge primeministerimrankhan	Mixed
waliramzan1 man kehta hon sb k sb kholo or inshaallah pehlay se zyada votes niklain gay pti kaye	Roman Urdu
ishq karney ka irada bilkul na tha ishq hu gaya ba khuda dekhtay dekhtay primeministerimrankhan	Mixed
wajih sani ik ka honeymoon period b ni shrow hua or lafafa chalo	Mixed
list of losers khuwaja saad rafique abid sher ali shahbaz sharif amp talal chaudhary electionpakistan primeministerimrankhan	English
salman arsenal lagta hai sy pti mein anay walay ziada logh haar gy	Roman Urdu
lahore tum say psl election aur biryani nahi ho paye ga electionspakistan2018 absirfimrankhan	Mixed
pti kay kesi bunday kay jeetnay pe dukh hua toh woh ye hai	Roman Urdu
ptv right now saying imran khan mukhlis ha jinho ne mulk se rawaiti siasatdano se jaan chura di omg ptv is such a hypocrite	Mixed
pti k tamam dosto ko bht bht mubarik ho khan sb ki or ap sub logo ki mahnat rang lai hai	Roman Urdu
noon league ka gharoor unko lay dooba electionresults2018	Mixed
logon ko ghadha kehnay wala jamhoriat aur parliament par lanat bhejnay wala kisi aur mulk main jeet kar prime minister ban sakta agar hulf lenay se pehlay itnay ghair munasib alfaaz wapis lay lain tu kya he acha hoga electionpakistan2018	Mixed
kutty ko pti parcham mn lapait k goli marny wala shakhs griftar fazloo ki siyasat dafan krny ka pukhta azam kiya howa hy ameen gandapur	Mixed
kpk men pti ke hathon amir muqam shahbaz sharif bilawal bhatto asfund yar siraj u haq fazulrahman ko ibrat nak shakist	Roman Urdu
burnol wesy short ha aj kal patwari khty han hospitals me bhot kam kia ha pmln ne shayd waha se mil jaye inko	Mixed
is mn imran khan ko nakami ka samna krna prhega	Roman Urdu
baat tu theek hai karachi mein kamal kia hai pti ne i hope federal government 8 10 mega projects day karachi ko	Mixed
katai nhi q k vote mqm ko para hai is ko nhi	Roman Urdu
bhai ji ask hi kiya hai na koi bhi keh sakta hai	Mixed
issalamaa champagne lassi yehi baat hai na woh party ki limit tak chalta hai bas	Mixed
1996 sa 2018 take ma pmln ka sath ho	Roman Urdu
bus ap sy modbaba iltmas ha k plzzz ap ya sansni phailana band kr dain	Mixed
maryam mazhar h azmabokhari allah ka fazal se pmln zindabad	Roman Urdu
fikar not imrankhan win hai	Mixed
im also sargodha vote ko ezat asy dilwaty he ankho main ankhy dal ky larna ana chye jukna nai har jet tu bad ki bat	Roman Urdu
phele cup legaya or ab sherwani bhi legaya mian sahab adiala m bethy abdeeda hogae electionresults2018	Mixed
ghar ke saamny aya tha or mien mil nai paya yar	Roman Urdu
hinaparvezbutt lakh di lant ap logo pr jalso ma naary lgaaty thy k ppp r pti 1 hi h ab khid usi ppp k pas bhaag ra	Roman Urdu
aj kal pti wala bohat batmiz ho gaya ha pti kay chamcha	Roman Urdu
ch saab jab tak pmln main thay har baat jaitay pehli baar independent larra oar phir ghar k rahay na ghat k	Mixed
hayeeee ik sharma raha hai	Roman Urdu
pk 65 pe bhi dobara ginti krni chahye mian iftikhar hussain was strongest candidate than pti khaleeq ur rehman	Mixed
betterpakistan pti walon ka na koi deen hota ha na imaan phir khauf e khuda kahaan se aega	Roman Urdu
abmukaddam msarosh u really think so tabhi mqm k leaders ko aaj tak bhai keh k mukhatib kartay hain kabhi aamna	Mixed
mqm ko deewar se lagaya jara hai electionresults2018	Roman Urdu
aftabiqbai sir g ik k lakhon voterz asy b to hn jo k bht e ghareeb gharany sa belong krty hn jin ki mahana pay ma sa agr 500 km pr jay to poory ghr ka budget tight ho jata ha ma na khud asy gharany dekhy hn	Mixed
ukhaar lou jo ukhar sakte ho	Roman Urdu
hahahahahha mn apki maan lun gaa keh to rha hun aap suni sunai baton ki bat kr rhi hen	Roman Urdu
asalam o alaikum p t i ka center aur punjab ma number poray honay ka dawa pti	Mixed
najam sethi apki baari chalo ab sab aik aik kar ke line me lago shabash thankyou fbr nayapakistan	Mixed
han g i a abhi to pm k lye voting hogi then sept mn kahin jaa k seat sumbhale ga ik	Mixed
shabanaseikha s marwadi786 zinda rhne ke liya teri kasm ik mulakat jaruri h sanam	Roman Urdu
cmshehbaz sir aap he u turn lee hai jhoot bola hai ya phir aap kuch khisak gaye hain decide nahi ho sak raha	Mixed
elinaf1821 sirf ik tweet main kiya ja raha hai	Mixed
aik he saaf main kharay ho gyhay mhemood or ayaz na koyi banda raha na koyi banda nawaz dhandli election 2018 ppp plmn mma mqm	Mixed
lahore walo karachi walo sy kch seekho 30 saal porani party mqm ko hata k pti ko support kia hai or tm log nun mai atky rehna	Mixed
zindagi ki ik or subha mubarak ho allah reb e kareem hum sub ki har dua ko qabool farmaa ameen	Roman Urdu
faisalabadi chamgadr i mean rana sana ullah said today we will not disappoint imran khan	Mixed
aaj pti k ilawa sab keh rahay hn selection wah re faqeer	Mixed
fazey114 sanu ik paal chain naw awyyy sajna tere bina nfak	Roman Urdu
islamudinsajid talhaghouri786 ye pic 3 din purani ha mansehra ma pmln k harne wale candidate k ahtijaj ki khakan	Roman Urdu
haan bhai jahan ap log jeeto wahan awami mandate jahan pti jeety wahan dhandli hypocrites	Mixed
lyari walon khush raho	Roman Urdu
